..\Music\Pandemonium\Music.mp3 
Pandemonium
Memme
..\Music\Pandemonium\Note.txt
..\Music\Pandemonium\Image.jpg
7.09
965 482
104513 210 1.11
104619 210 1.13
104656 210 1.14
104762 210 1.15
104799 210 1.16
104905 210 1.14
104953 210 1.12
105000 210 1.10
105048 210 1.08
105191 210 1.17
105238 210 1.14
105286 210 1.11
105334 210 1.08
105381 210 1.05
105429 210 1.02
105476 210 0.99
105524 210 0.96
105572 210 0.93
105619 210 0.90
105905 210 1.00
105941 210 1.04
106048 210 1.08
106084 210 1.12
106191 210 1.16
106226 210 1.20
106334 210 1.22
106381 210 1.24
106429 210 1.26
106476 210 1.28
106619 210 1.18
106655 210 1.17
106762 210 1.14
106905 210 1.10
106941 210 1.09
107048 210 1.06
107191 210 1.09
107262 210 1.12
107334 210 1.14
107476 210 1.19
107619 210 1.24
107905 210 1.10
108048 210 1.15
108191 210 1.20
108334 210 1.25
108476 210 1.30
108762 210 1.15
108905 210 1.22
109048 210 1.30
109119 210 1.34
109191 210 1.37
109334 210 1.45
109619 210 1.25
109762 210 1.34
109905 210 1.42
110048 210 1.51
110191 210 1.60
111049 210 1.40
111548 210 2.00
111691 210 1.20
112192 210 1.00
120048 210 1.01
120119 210 1.02
120191 210 1.03
120334 210 1.05
120381 210 1.06
120429 210 1.07
120476 210 1.07
120619 210 1.09
120667 210 1.10
120714 210 1.11
120762 210 1.12
120905 210 1.14
120976 210 1.15
121048 210 1.16
121143 210 1.17
121191 210 1.18
121238 210 1.19
121334 210 1.20
121905 210 1.00
128476 210 1.02
128619 210 1.04
128762 210 1.05
128905 210 1.07
129191 210 1.30
